,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-24 11:20:00,Sioux Falls,SD,Sphere,5 minutes,"We saw multiple flying objects moving in a synchronized way back and forth, staying still, and moving at incredible speed out of sight.",https://nuforc.org/webreports/reports/175/S175489.html
1,2023-02-27 19:45:00,Brandon,SD,Cross,20-30 minutes,Two stationery craft. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174748.html
2,2023-02-11 22:30:00,Sioux falls,SD,Circle,2.00 minutes,"It was super fast headed north, then suddenly turned around and headed back south.",https://nuforc.org/webreports/reports/174/S174430.html
3,2022-12-30 16:00:00,Sioux Falls,SD,Circle,10 seconds,"Bright light in sky during day time, then I see it.",https://nuforc.org/webreports/reports/173/S173656.html
4,2022-09-17 19:28:00,Aberdeen,SD,Fireball,Hours,"Its came, floated around and slowly faded",https://nuforc.org/webreports/reports/171/S171840.html
5,2022-08-20 22:03:00,Mt vernon,SD,Circle,2 minutes,The brightness of the spiraling white light of spaceships was phenomenal,https://nuforc.org/webreports/reports/171/S171301.html
6,2022-07-22 22:15:00,Rosebud,SD,Disk,3 minutes,Dark chrome disk,https://nuforc.org/webreports/reports/171/S171083.html
7,2022-07-22 21:50:00,Custer,SD,Formation,40 seconds,We sat around outside our camp fire and one of party members looked up to the sky and saw the strange shape that was slowly moving.,https://nuforc.org/webreports/reports/170/S170695.html
8,2022-07-22 01:20:00,Yankton,SD,Cylinder,4-5mins,Fiery blue cylinder shape,https://nuforc.org/webreports/reports/170/S170864.html
9,2022-07-09 17:52:00,Rapid City,SD,Circle,Over 30 minutes,"Cloudy ""ring"" in the sky",https://nuforc.org/webreports/reports/170/S170213.html
10,2022-06-26 15:19:00,Wilmot,SD,Sphere,~10 seconds,Pilot observed two spherical shaped objects flying in formation below aircraft,https://nuforc.org/webreports/reports/170/S170068.html
11,2022-06-19 01:15:00,Near Canistota,SD,Unknown,5 minutes give or take,"Seemed as though you could see headlights coming off of it, but the beam expanded",https://nuforc.org/webreports/reports/170/S170170.html
12,2022-06-19 01:15:00,Bruce,SD,Triangle,4-5 minutes,looked like a bright light behind a V shaped object,https://nuforc.org/webreports/reports/168/S168774.html
13,2022-06-08 21:01:00,Montrose,SD,Oval,30 min..,Observrved 2 bright glowing craft steady in sky.,https://nuforc.org/webreports/reports/168/S168764.html
14,2022-06-08 21:00:00,Montrose,SD,Oval,30 min,Stationary in sky. Bright almost oval shaped with a long dark center.,https://nuforc.org/webreports/reports/168/S168568.html
15,2022-03-15 19:44:00,Brookings,SD,Disk,7 minutes 15 seconds,4 disks appear getting bigger and bigger than disappearing,https://nuforc.org/webreports/reports/167/S167154.html
16,2022-03-02 05:50:00,Brookings,SD,Light,3 seconds,Ball of light accelerating overhead into the distance,https://nuforc.org/webreports/reports/166/S166940.html
17,2022-02-25 06:50:00,Sioux Falls,SD,Other,On going (>40 min now),"Round, like a cluster of tiny diamond, with slow changing, turning?, or moving pattern, intermittent vacuole(s)",https://nuforc.org/webreports/reports/166/S166885.html
18,2022-02-13 06:51:00,Sioux Falls,SD,Other,45 seconds,"Large tail with multicolored light at head, big and was visible for a duration",https://nuforc.org/webreports/reports/166/S166672.html
19,2022-02-08 09:15:00,Hill City,SD,Unknown,20 seconds,"As I was leaving Hill City this morning going back to Rapid City, I saw a bright point of light.",https://nuforc.org/webreports/reports/166/S166625.html
20,2022-01-31 18:50:00,Marion,SD,Light,Less then 60 seconds,White dot with 3 cloudy rings with top and bottom truncated. Diameter 2 ft of my vision. Fades to nothing in 60 Seconds,https://nuforc.org/webreports/reports/166/S166544.html
21,2022-01-31 18:50:00,Sioux Falls,SD,Unknown,5 minutes,We were walking and saw a weird non-blinking shape,https://nuforc.org/webreports/reports/166/S166499.html
22,2022-01-31 18:50:00,Russellville,SD,Changing,10 min,Spiral ufo changing shape,https://nuforc.org/webreports/reports/166/S166496.html
23,2022-01-31 18:47:00,Yankton,SD,Cigar,~8 minutes,"I first saw this cigar shape fairly brightin the northern sky, there was glowing around it on two sides, like if it was shining light.",https://nuforc.org/webreports/reports/166/S166492.html
24,2021-11-21 18:00:00,Sioux Falls,SD,Changing,,"Silent black mass moved silently above residential home, appeared boomerang shaped but video suggests cigar/changing. Moved Southeast.",https://nuforc.org/webreports/reports/165/S165528.html
25,2021-11-20 17:00:00,Rapid City,SD,Triangle,,I saw several crafts move both quickly and remain stationary.,https://nuforc.org/webreports/reports/165/S165512.html
26,2021-10-22 15:25:00,Sioux Falls,SD,Other,31 seconds,suspending in one place for a longtime square no movement,https://nuforc.org/webreports/reports/165/S165039.html
27,2021-07-03 18:00:00,Piedmont,SD,Oval,Between 5-7pm,Very large oval ball the same color of the mixed gray and white clouds,https://nuforc.org/webreports/reports/166/S166490.html
28,2021-06-21 22:00:00,Sturgis,SD,,~10 seconds,"Multiple streaks in same spot, followed by slower one",https://nuforc.org/webreports/reports/164/S164078.html
29,2021-03-01 19:45:00,Sturgis,SD,Fireball,30 seconds,"Bright, lime green fireball in the sky",https://nuforc.org/webreports/reports/162/S162251.html
30,2021-01-01 00:00:00,Rapid City,SD,Light,On going,70 lights all moving around sky. Initially look like stars but are rapidly blinking. An seemingly in atmosphere. Some are orange.some a,https://nuforc.org/webreports/reports/161/S161380.html
31,2020-12-13 22:12:00,Hot springs,SD,Unknown,50 seconds,"Fast approaching object turned into 3 green glowing bow shapes, then as it passed over the house light went out and it was metal object",https://nuforc.org/webreports/reports/161/S161480.html
32,2020-12-05 19:03:00,Huron,SD,Formation,3 min,Line of moving lights in sky,https://nuforc.org/webreports/reports/161/S161048.html
33,2020-08-28 08:30:00,Sioux Falls,SD,Changing,20 minutes,Bright large shape turns red,https://nuforc.org/webreports/reports/159/S159020.html
34,2020-08-22 22:30:00,Yankton,SD,Light,30 seconds,2 orange lights hovering slowly before flickering out west of Yankton/North of Gavins Point Dam,https://nuforc.org/webreports/reports/159/S159062.html
35,2020-07-27 11:30:00,Brookings,SD,Circle,2 minutes,"The singular object I saw was a brown darkish flat, circular, and shiny that was traveling around 35-40 MPH",https://nuforc.org/webreports/reports/157/S157957.html
36,2020-07-04 01:19:00,Red Iron/Clear Lake,SD,Other,30,"My significant other was in the lake without son playing and splashing around, when he asked me ""what's that in the sky?""I ig",https://nuforc.org/webreports/reports/159/S159460.html
37,2020-06-03 23:11:00,Madison,SD,Light,.2 minutes,"Small burst of light that resembled a shooting star, but much much closer. Lasted approximately 5 seconds.",https://nuforc.org/webreports/reports/156/S156903.html
38,2020-05-14 00:00:00,406 Pine St Lot 2,SD,Formation,,'So-called' air traffic/thunder storm brings UFO to our skys.,https://nuforc.org/webreports/reports/156/S156460.html
39,2020-04-18 21:00:00,Milbank,SD,Light,15-30 minutes,Notice single white lights ((Starlink satellites?)),https://nuforc.org/webreports/reports/155/S155484.html
40,2020-04-17 21:15:00,Rapid City,SD,Circle,15 minutes,"50 spaced lights,going sw to be at speeds similar to known space lab,etc. Could see 8-10 at a time.",https://nuforc.org/webreports/reports/155/S155415.html
41,2020-03-20 20:10:00,Sturgis,SD,Light,15 minutes,"50 UFOs flew in a straight line, perfectly spaced apart. ((""Spacelink"" satellites??))",https://nuforc.org/webreports/reports/154/S154319.html
42,2020-03-07 19:02:00,Summerset,SD,Formation,2-3 minutes,25-30 white lights flying in a straight line equally spaced apart. ((Spacelink satellites)),https://nuforc.org/webreports/reports/154/S154006.html
43,2020-02-22 21:18:00,Yankton,SD,Formation,146 seconds,Low flying Ufo cluster over Yankton.,https://nuforc.org/webreports/reports/153/S153522.html
44,2020-01-19 19:00:00,Worthing,SD,Orb,5 seconds,There was a basketball sized orb that was bright white. Moved up and down and then disappeared.,https://nuforc.org/webreports/reports/152/S152889.html
45,2020-01-19 18:30:00,Brookings,SD,Triangle,<1 minute,Triangular Shaped Drone,https://nuforc.org/webreports/reports/152/S152761.html
46,2020-01-11 04:30:00,Garretson,SD,Egg,30 seconds,White seemingly hovering Tic-Tac object Near a plane in the sky Observed for 25 seconds Rapidly accelerated out of visible range in app,https://nuforc.org/webreports/reports/152/S152495.html
47,2019-12-24 18:23:00,Black Hawk,SD,Light,15 minutes,"Line of evenly spaced white, star-like lights moving in night sky from west to east and disappearing overhead.",https://nuforc.org/webreports/reports/152/S152069.html
48,2019-11-23 18:00:00,Sioux Falls,SD,Other,30 seconds,On November 22nd about 6 p.m. I went outside looking west and noticed a large batwinged aircraft approaching from the north heading due,https://nuforc.org/webreports/reports/151/S151009.html
49,2019-11-19 19:24:00,White Lake,SD,Circle,10 seconds,"We spotted 2-3 warm white lights in the air south of our location. ((NUFORC Note: ""Starlink"" satellites? PD))",https://nuforc.org/webreports/reports/150/S150875.html
50,2019-10-16 17:00:00,Hot Springs,SD,Triangle,7 seconds,I was entering Wind Cave National Park from the south end when I got out of my vehicle to get some fresh air from my long drive. I loo,https://nuforc.org/webreports/reports/150/S150363.html
51,2019-10-16 06:30:00,Brandon,SD,Fireball,2 min,Fireball seen above Brandon sd,https://nuforc.org/webreports/reports/150/S150222.html
52,2019-09-21 21:00:00,Mankato,SD,Cylinder,2 minutes,"9pm saw shiny formation, moved effortlessly, no lights, quiet, then flew out of sight.",https://nuforc.org/webreports/reports/149/S149093.html
53,2019-07-26 02:00:00,St. Francis,SD,Disk,12:00 to 3:00,Like a small lights lining up and blinking oddly and then after that a triangle shape flew across spring creek sky and kept blinks odd,https://nuforc.org/webreports/reports/147/S147815.html
54,2019-06-15 23:30:00,Hayti (outside of),SD,Cigar,now,"Multiple red and blue blinking lights at various altitudes, Hamlin Co., SD.",https://nuforc.org/webreports/reports/146/S146856.html
55,2019-05-25 23:26:00,Sisseton,SD,Light,15 seconds,Line of 30 lights in a line. ((NUFORC Note: Satellites. PD)),https://nuforc.org/webreports/reports/146/S146283.html
56,2019-05-24 00:05:00,Mitchell,SD,Formation,1 minute,30 white orbs. ((NUFORC Note: Satellites from Falcon 9. PD)),https://nuforc.org/webreports/reports/146/S146355.html
57,2019-05-14 22:00:00,Belle Fourche,SD,Light,10 seconds,"2 lights appear one over the other, both ascend, slowly disappear. Saw same last 3 nights. ((anonymous report))",https://nuforc.org/webreports/reports/146/S146249.html
58,2019-05-14 20:00:00,Brandon,SD,Circle,60,The setting sun was reflecting off of it brightly. ((anonymous report)),https://nuforc.org/webreports/reports/146/S146251.html
59,2019-05-14 20:00:00,Brandon,SD,Circle,90 minutes,An unusually bright light in the sky NW 20 degrees. ((anonymous report)),https://nuforc.org/webreports/reports/146/S146237.html
60,2019-04-08 00:15:00,Brookings,SD,Triangle,<30 seconds,"Triangular object with 7 lights on the bottom, appearing to be a few hundred feet from the ground. ((anonymous report))",https://nuforc.org/webreports/reports/145/S145569.html
61,2019-01-23 01:00:00,Sioux Falls,SD,Disk,20 minutes,((HOAX??)) There were 12 orange lights Moving west to east. ((anonymous report)),https://nuforc.org/webreports/reports/144/S144659.html
62,2018-12-01 21:20:00,Rapid City,SD,Formation,20 minutes,Between 17 and 20 orange orbs drifted toward the Black Hills. ((anonymous report)),https://nuforc.org/webreports/reports/143/S143953.html
63,2018-09-12 17:00:00,Deadwood,SD,Circle,3 hours,"Very bright round object above the Moon that did not move for 3 hrs. + in Deadwood, SD. ((NUFORC Note: Balloon? PD))",https://nuforc.org/webreports/reports/143/S143089.html
64,2018-08-29 18:30:00,Sioux Falls,SD,Teardrop,2 hours,Tear drop shape was very brilliant white with red and blue tip.,https://nuforc.org/webreports/reports/142/S142837.html
65,2018-08-29 08:33:00,Sioux Falls,SD,Circle,20 minutes,Circle craft very high in the sky changing color. ((anonymous report)),https://nuforc.org/webreports/reports/142/S142846.html
66,2018-08-23 16:00:00,Rapid City,SD,Light,3+ hours,I was in and out of the house throughout the night observing the Perseids meteor shower. I chose a pair of bright stars in the northern,https://nuforc.org/webreports/reports/146/S146986.html
67,2018-08-09 01:00:00,Sturgis,SD,Formation,>30 seconds,"4 silent craft in close formation, and real low!",https://nuforc.org/webreports/reports/142/S142627.html
68,2018-07-12 03:15:00,Brandon/Sioux Falls,SD,Disk,3:25,"((HOAX??)) Saucer/disk seen by one middle schooler in Brandon, South Dakota.",https://nuforc.org/webreports/reports/144/S144014.html
69,2018-05-26 22:15:00,Gary,SD,Light,5 minutes,"Ten bright orange lights move into formation, hover, turn white, and then vanish.",https://nuforc.org/webreports/reports/141/S141753.html
70,2018-04-19 16:30:00,Rosebud,SD,Cylinder,30 seconds,"While observing a plane flying in Northeast direction, I noticed a cylindrical object trailing behind the plane at an angle so that it",https://nuforc.org/webreports/reports/139/S139526.html
71,2018-03-04 19:00:00,Sioux Falls,SD,Circle,1 hour,4 lights in a pattern. 4 lights that expanded and come back to center. ((NUFORC Note: Advertising lights?? PD)),https://nuforc.org/webreports/reports/139/S139055.html
72,2018-02-17 18:07:00,Rosco (8-10 miles W of; US Hwy. 12),SD,Cylinder,6 minutes,I saw a black cylinder. ((NUFORC Note: Witness is medical professional. PD)),https://nuforc.org/webreports/reports/138/S138851.html
73,2017-12-04 21:40:00,Sioux Falls,SD,Formation,~20 minutes,Small unorganized groups of orbs that had a goldish glow.,https://nuforc.org/webreports/reports/137/S137570.html
74,2017-12-04 17:00:00,Sioux Falls,SD,,6 hours,"There was a large snow storm the night of December 4th. Unfortunately, I doubt anyone was able to see much outside.",https://nuforc.org/webreports/reports/137/S137627.html
75,2017-11-20 17:00:00,Belle Fourche,SD,Light,15 minutes,The light started off as white. Flashing in an off pattern. The light slowly began moving away. Then changed directions and headed towa,https://nuforc.org/webreports/reports/137/S137335.html
76,2017-09-26 17:00:00,Oglala,SD,Sphere,2 hours,"Object remained visible to naked eye as stationary ball of light, just at sundown. Diffficult to determine dist. ((anonymous report))",https://nuforc.org/webreports/reports/136/S136410.html
77,2017-09-05 21:25:00,Mission,SD,Other,5 minutes,"Stationary bright white lights tightly arranged in 2 rows of 3 in eastern sky, with full moon.",https://nuforc.org/webreports/reports/136/S136051.html
78,2017-08-05 23:00:00,Pierre,SD,Triangle,2 minutes,Blinding bright triangle. ((anonymous report)),https://nuforc.org/webreports/reports/135/S135602.html
79,2017-08-04 21:15:00,Howard,SD,Light,20 minutes,"Red lights moving southeast to the north, one made a 90 degree turn.",https://nuforc.org/webreports/reports/135/S135579.html
80,2017-07-25 04:47:00,Sioux Falls,SD,Orb,1:00,((HOAX??)) Red Orb moves E along S of city.,https://nuforc.org/webreports/reports/135/S135351.html
81,2017-07-24 00:00:00,Custer,SD,Oval,2 minutes,Bright Orange Tire Size Orb.,https://nuforc.org/webreports/reports/143/S143755.html
82,2017-07-18 23:45:00,Sioux Falls,SD,Flash,2 minutes,"Flashing red light moving from W to E for 2 min. Thought it was a plane, but too high & no white. Vanished. Clear sky.",https://nuforc.org/webreports/reports/135/S135240.html
83,2017-06-15 19:00:00,Clear Lake,SD,Flash,1 second,A light dips down and disappears in a flash. ((anonymous report)),https://nuforc.org/webreports/reports/134/S134649.html
